CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
FPT,2025,2,0.09264419854799548,16658335760739,2257462588123,0.20387810675054127,1237012067887,-216761295705,16658335760739,-33622720672,16624713040067,-10603672997092,6021040042975,-531385256080,106714935715,-1790295896888,-1913677311579,3129408582030,28751046396,0,-17127043966,11624002430,3141032584460,-463961750401,63200566619,2740271400678,482808812555,2257462588123
FPT,2025,1,0.13990217748055989,16064980391264,2174301386525,0.20926811137084828,573331893191,-152389538333,16064980391264,-6839448804,16058140942460,-9756793038194,6301347904266,-311343769364,136730336838,-1828785929282,-1877437056836,2993843378813,39212521539,0,-8362389503,30850132036,3024693510849,-377287599563,-51848430977,2595557480309,421256093784,2174301386525
FPT,2024,4,0.2010953789530203,17651065378939,2094725967705,0.21194516001206873,582674583940,-134854268998,17651065378939,-43247573048,17607817805891,-11230248103366,6377569702525,-831375395433,116894742188,-1594938073232,-1729950878232,2920874681756,68481380356,0,-30860884043,37620496313,2958495178069,-530698618727,73049924176,2500846483518,406120515813,2094725967705
FPT,2024,3,0.1606301547085316,15972397069700,2088852212408,0.20094505949081146,326689006856,-128825950601,15972397069700,-69575353943,15902821715757,-9743866051351,6158955664406,-308178806879,142580948775,-1563862943636,-1807957864952,2948226004570,34674999189,0,-74280370385,-39605371196,2908620633374,-441224951554,11201940680,2478597622500,389745410092,2088852212408
FPT,2024,2,0.221184173033548,15245892288520,1875158768537,0.2424691900141332,569292544523,-150125422101,15245892288520,-665872500,15245226416020,-9593869093122,5651357322898,-337927906368,58601427292,-1588212329172,-1712658095576,2640452963597,27511312610,0,1004275617,28515588227,2668968551824,-561248620389,179993203349,2287713134784,412554366247,1875158768537
FPT,2024,1,0.2063058934493783,14093297397476,1798030863528,0.20385371629796067,457092979986,-137833720086,14093297397476,-368983777,14092928413699,-8582462733612,5510465680087,-334065273301,74454138017,-1368948625743,-1823471776014,2515527123032,44782907585,0,-26727976065,18054931520,2533582054552,-389755423988,16438659078,2160265289642,362234426114,1798030863528
FPT,2023,4,0.1258167136042841,14695806584757,1728399961335,0.2787796295057896,520345470835,-206644073232,14695806584757,-5393881434,14690412703323,-9058549143162,5631863560161,-527556384763,58146301170,-1316156285395,-1979944371544,2386698290464,64518573767,0,-16124064640,48394509127,2435092799591,-424981344481,41129315871,2051240770981,322840809646,1728399961335
FPT,2023,3,0.2343801238365973,13761831884948,1739340360244,0.19647855844650255,516203046415,-265654864395,13761831884948,-86909091,13761744975857,-8265376008841,5496368967016,-406428287129,39896110382,-1434174354947,-1773504449852,2438361031885,46849960698,0,-56060532724,-9210572026,2429150459859,-344595196181,-8685907653,2075869356025,336528995781,1739340360244
FPT,2023,2,0.23649367245732042,12484515133084,1509219531243,0.20658364399082316,623044115643,-212364005360,12484515133084,-150868182,12484364264902,-7850539957865,4633824307037,-287498451679,-65748307687,-1238296534096,-1475558757945,2189766371273,46978996702,0,-18612734628,28366262074,2218132633347,-337905337939,-24645039772,1855582255636,346362724393,1509219531243
FPT,2023,1,0.20049552372210933,11683021258544,1493562580890,0.20557541821059627,676476546426,-147985668274,11683021258544,-1642375241,11681378883303,-7113499882609,4567879000694,-496815340139,43757073944,-1101871534159,-1592492464630,2096933282136,42879374489,0,-19169009527,23710364962,2120643647098,-308330144701,-2514048503,1809799453894,316236873004,1493562580890
